date, pm25, o3, no2, so2, co
2020/1/9, 38, 19, 16, 1, 2
2020/1/10, 29, 21, 20, 1, 2
2020/1/11, 39, 31, 7, 1, 1
2020/1/12, 25, 27, 4, 1, 
2020/1/13, 19, 18, 8, 1, 1
2020/1/14, 29, 10, 13, 1, 2
2020/1/15, 41, 17, 19, 1, 3
2020/1/16, 38, 20, 16, 1, 3
2020/1/17, 27, 28, 14, 1, 1
2020/1/18, 28, 23, 16, 1, 2
2020/1/19, 28, 22, 19, 1, 2
2020/1/20, 39, 26, 17, 1, 2
2020/1/21, 28, 24, 25, 1, 2
2020/1/22, 39, 21, 35, 1, 5
2020/1/23, 53, 20, 34, 1, 4
2020/1/24, 58, 18, 28, 1, 4
2020/1/25, 60, 27, 3, 1, 
2020/1/26, 21, 23, 8, 1, 1
2020/1/27, 15, 14, 12, 1, 2
2020/1/28, 22, 27, 14, 1, 1
2020/1/29, 14, 27, 16, 1, 1
2020/1/30, 25, 20, 21, 1, 1
2020/1/31, 34, 26, 26, 1, 3
2020/2/1, 44, 18, 22, 1, 2
2020/2/2, 44, 18, 17, 1, 3
2020/2/3, 51, 18, 23, 1, 3
2020/2/4, 43, 10, 25, 1, 3
2020/2/5, 46, 20, 21, 1, 2
2020/2/6, 37, 18, 10, , 
2020/2/7, 24, 23, 14, , 1
2020/2/8, 17, 27, 7, , 1
2020/2/9, 27, , 13, , 1
2020/2/10, 35, , 16, , 1
2020/2/11, 38, , 21, , 3
2020/2/12, 44, , 16, , 2
2020/2/13, 37, , 26, , 3
2020/2/14, 39, , 14, , 2
2020/2/15, 26, , 14, , 2
2020/2/16, 35, , 15, , 2
2020/2/17, 39, , 18, , 2
2020/2/18, 42, , 12, , 1
2020/2/19, 33, , 12, , 1
2020/2/20, 23, , 15, , 2
2020/2/21, 24, , 18, , 2
2020/2/22, 32, , 15, , 3
2020/2/23, 44, , 18, , 4
2020/2/24, 46, 36, 20, 1, 3
2020/2/25, 49, 23, 18, 1, 2
2020/2/26, 46, 29, 14, , 2
2020/2/27, 45, 32, 6, , 1
2020/2/28, 19, 30, 12, , 2
2020/2/29, 31, 28, 16, , 3
2020/3/1, 33, 26, 9, , 2
2020/3/2, 33, 33, 25, , 3
2020/3/3, 45, 33, 12, 1, 3
2020/3/4, 43, 28, 9, 1, 2
2020/3/5, 30, 27, 18, 1, 3
2020/3/6, 34, 30, 18, 1, 5
2020/3/7, 45, 32, 7, 1, 2
2020/3/8, 22, 31, 15, 1, 3
2020/3/9, 31, 37, 17, 1, 3
2020/3/10, 40, 31, 11, 1, 2
2020/3/11, 41, 27, 10, 1, 2
2020/3/12, 27, 27, 10, 1, 2
2020/3/13, 34, 30, 8, 1, 2
2020/3/14, 31, 28, 7, 1, 2
2020/3/15, 28, 35, 6, 1, 1
2020/3/16, 28, 31, 7, 1, 1
2020/3/17, 26, 25, 16, 1, 3
2020/3/18, 30, 32, 15, 1, 3
2020/3/19, 28, 27, 6, 1, 2
2020/3/20, 28, 23, 13, 1, 2
2020/3/21, 33, 31, 5, 1, 1
2020/3/22, 27, 32, 4, 1, 1
2020/3/23, 31, 29, 7, 1, 1
2020/3/24, 30, 30, 11, , 1
2020/3/25, 23, 29, 4, , 1
2020/3/26, 30, 33, 9, , 1
2020/3/27, 32, 33, 12, , 1
2020/3/28, 27, 26, 11, , 
2020/3/29, 34, , , , 
2020/3/30, 42, , , , 
