date, pm25, o3, no2, so2, co
2016/7/17, 26, , , , 
2016/7/18, 39, , , , 
2016/7/19, 46, , , , 
2016/7/20, 35, , , , 
2016/7/21, 39, , , , 
2016/7/22, 49, , , , 
2016/7/23, 47, , , , 
2016/7/24, 42, , , , 
2016/7/25, 26, , , , 
2016/7/26, 43, , , , 
2016/7/27, 31, , , , 
2016/7/28, 32, , , , 
2016/7/29, 26, , , , 
2016/7/30, 40, , , , 
2016/7/31, 26, , , , 
2016/8/1, 30, , , , 
2016/8/2, 25, , , , 
2016/8/3, 26, , , , 
2016/8/4, 28, , , , 
2016/8/5, 25, , , , 
2016/8/6, 26, , , , 
2016/8/7, 41, , , , 
2016/8/8, 45, , , , 
2016/8/9, 30, , , , 
2016/8/10, 32, , , , 
2016/8/11, 29, , , , 
2016/8/12, 38, , , , 
2016/8/13, 14, , , , 
2016/8/14, 43, , , , 
2016/8/15, 31, , , , 
2016/8/16, 24, , , , 
2016/8/17, 34, , , , 
2016/8/18, 31, , , , 
2016/8/19, 27, , , , 
2016/8/20, 30, , , , 
2016/8/21, 30, , , , 
2016/8/22, 24, , , , 
2016/8/23, 29, , , , 
2016/8/24, 30, , , , 
2016/8/25, 37, , , , 
2016/8/26, 41, , , , 
2016/8/27, 39, , , , 
2016/8/28, 36, , , , 
2016/8/29, 26, , , , 
2016/8/30, 26, , , , 
2016/8/31, 30, , , , 
2016/9/1, 42, , , , 
2016/9/2, 27, , , , 
2016/9/3, 26, , , , 
2016/9/4, 33, , , , 
2016/9/5, 27, , , , 
2016/9/6, 24, , , , 
2016/9/7, 23, , , , 
2016/9/8, 28, , , , 
2016/9/9, 19, , , , 
2016/9/10, 29, , , , 
2016/9/11, 27, , , , 
2016/9/12, 29, , , , 
2016/9/13, 22, , , , 
2016/9/14, 24, , , , 
2016/9/15, 31, , , , 
2016/9/16, 15, , , , 
2016/9/17, 22, , , , 
2016/9/18, 24, , , , 
2016/9/19, 20, , , , 
2016/9/20, 11, , , , 
2016/9/21, 23, , , , 
2016/9/22, 35, , , , 
2016/9/23, 24, , , , 
2016/9/24, 26, , , , 
2016/9/25, 39, , , , 
2016/9/26, 32, , , , 
2016/9/27, 26, , , , 
2016/9/28, 20, , , , 
2016/9/29, 15, , , , 
2016/9/30, 15, , , , 
2016/10/1, 18, , , , 
2016/4/2, 23, , , , 
2016/4/3, 23, , , , 
2016/4/4, 24, , , , 
2016/4/5, 26, , , , 
2016/4/6, 41, , , , 
2016/4/7, 38, , , , 
2016/4/8, 18, , , , 
2016/4/9, 27, , , , 
2016/4/10, 32, , , , 
2016/4/11, 24, , , , 
2016/4/12, 29, , , , 
2016/4/13, 34, , , , 
2016/4/14, 23, , , , 
2016/4/15, 29, , , , 
2016/4/16, 28, , , , 
2016/4/17, 21, , , , 
2016/4/18, 30, , , , 
2016/4/19, 36, , , , 
2016/4/20, 36, , , , 
2016/4/21, 19, , , , 
2016/4/22, 25, , , , 
2016/4/23, 46, , , , 
2016/4/24, 38, , , , 
2016/4/25, 19, , , , 
2016/4/26, 28, , , , 
2016/4/27, 21, , , , 
2016/4/28, 24, , , , 
2016/4/29, 11, , , , 
2016/4/30, 14, , , , 
2016/5/1, 16, , , , 
2016/5/2, 19, , , , 
2016/5/3, 20, , , , 
2016/5/4, 14, , , , 
2016/5/5, 12, , , , 
2016/5/6, 7, , , , 
2016/5/7, 10, , , , 
2016/5/8, 11, , , , 
2016/5/9, 26, , , , 
2016/5/10, 22, , , , 
2016/5/11, 21, , , , 
2016/5/12, 24, , , , 
2016/5/13, 28, , , , 
2016/5/14, 31, , , , 
2016/5/15, 28, , , , 
2016/5/16, 18, , , , 
2016/5/17, 24, , , , 
2016/5/18, 24, , , , 
2016/5/19, 17, , , , 
2016/5/20, 21, , , , 
2016/5/21, 27, , , , 
2016/5/22, 32, , , , 
2016/5/23, 15, , , , 
2016/5/24, 19, , , , 
2016/5/25, 5, , , , 
2016/5/26, 21, , , , 
2016/5/27, 62, , , , 
2016/5/28, 72, , , , 
2016/5/29, 57, , , , 
2016/5/30, 53, , , , 
2016/5/31, 23, , , , 
2016/6/1, 25, , , , 
2016/6/2, 24, , , , 
2016/6/3, 29, , , , 
2016/6/4, 35, , , , 
2016/6/5, 42, , , , 
2016/6/6, 34, , , , 
2016/6/7, 22, , , , 
2016/6/8, 45, , , , 
2016/6/9, 25, , , , 
2016/6/11, 33, , , , 
2016/6/12, 40, , , , 
2016/6/13, 37, , , , 
2016/6/14, 25, , , , 
2016/6/15, 20, , , , 
2016/6/16, 31, , , , 
2016/6/17, 43, , , , 
2016/6/18, 34, , , , 
2016/6/19, 37, , , , 
2016/6/20, 32, , , , 
2016/6/21, 33, , , , 
2016/6/22, 36, , , , 
2016/6/23, 32, , , , 
2016/6/24, 33, , , , 
2016/6/25, 34, , , , 
2016/6/26, 32, , , , 
2016/6/27, 36, , , , 
2016/6/28, 30, , , , 
2016/6/29, 21, , , , 
2016/6/30, 25, , , , 
2016/7/1, 26, , , , 
2016/1/5, 35, , , , 
2016/1/6, 33, , , , 
2016/1/7, 35, , , , 
2016/1/8, 54, , , , 
2016/1/9, 49, , , , 
2016/1/10, 44, , , , 
2016/1/11, 25, , , , 
2016/1/12, 19, , , , 
2016/1/13, 28, , , , 
2016/1/14, 30, , , , 
2016/1/15, 16, , , , 
2016/1/16, 43, , , , 
2016/1/17, 35, , , , 
2016/1/18, 28, , , , 
2016/1/19, 25, , , , 
2016/1/20, 32, , , , 
2016/1/21, 38, , , , 
2016/1/22, 32, , , , 
2016/1/23, 38, , , , 
2016/1/24, 25, , , , 
2016/1/25, 31, , , , 
2016/1/26, 35, , , , 
2016/1/27, 46, , , , 
2016/1/28, 34, , , , 
2016/1/29, 27, , , , 
2016/1/30, 55, , , , 
2016/1/31, 41, , , , 
2016/2/1, 36, , , , 
2016/2/2, 40, , , , 
2016/2/3, 21, , , , 
2016/2/4, 23, , , , 
2016/2/5, 19, , , , 
2016/2/6, 28, , , , 
2016/2/7, 32, , , , 
2016/2/8, 47, , , , 
2016/2/9, 19, , , , 
2016/2/10, 33, , , , 
2016/2/11, 55, , , , 
2016/2/12, 30, , , , 
2016/2/13, 31, , , , 
2016/2/14, 50, , , , 
2016/2/15, 62, , , , 
2016/2/16, 48, , , , 
2016/2/17, 39, , , , 
2016/2/18, 32, , , , 
2016/2/19, 30, , , , 
2016/2/20, 34, , , , 
2016/2/21, 32, , , , 
2016/2/22, 29, , , , 
2016/2/23, 16, , , , 
2016/2/24, 22, , , , 
2016/2/25, 18, , , , 
2016/2/26, 14, , , , 
2016/2/27, 20, , , , 
2016/2/28, 30, , , , 
2016/2/29, 40, , , , 
2016/3/1, 37, , , , 
2016/3/2, 20, , , , 
2016/3/3, 27, , , , 
2016/3/4, 30, , , , 
2016/3/5, 36, , , , 
2016/3/6, 31, , , , 
2016/3/7, 39, , , , 
2016/3/8, 63, , , , 
2016/3/9, 53, , , , 
2016/3/10, 56, , , , 
2016/3/11, 48, , , , 
