date, pm25, o3, no2, so2, co
2021/1/25, 21, 26, 9, , 1
2021/1/26, 17, 24, 16, 1, 2
2021/1/27, 25, 15, 18, , 3
2021/1/28, 30, 25, 8, , 2
2021/1/29, 24, 23, 5, , 1
2021/1/30, 23, 25, 7, , 2
2021/1/31, 26, 17, 15, 1, 2
2021/2/1, 37, 24, 15, , 2
2020/10/2, 32, 18, 12, , 2
2020/10/3, 35, 24, 9, , 2
2020/10/4, 28, 25, 7, , 1
2020/10/5, 22, 19, 7, , 2
2020/10/6, 28, 28, 7, , 1
2020/10/7, 25, 33, 4, 1, 1
2020/10/8, 31, 20, 4, , 1
2020/10/9, 16, 21, 7, , 1
2020/10/10, 24, 33, 2, , 1
2020/10/11, 36, 22, 2, , 1
2020/10/12, 23, 21, 3, , 1
2020/10/13, 23, 17, 5, , 1
2020/10/14, 15, 24, 9, , 2
2020/10/15, 23, 38, 9, 1, 2
2020/10/16, 40, 24, 6, , 1
2020/10/17, 19, 21, 9, 1, 2
2020/10/18, 25, 25, 12, 1, 4
2020/10/19, 44, 21, 15, 1, 4
2020/10/20, 38, 18, 14, 1, 3
2020/10/21, 33, 15, 11, , 2
2020/10/22, 20, 16, 8, 1, 2
2020/10/23, 23, 20, 6, , 1
2020/10/24, 27, 21, 4, , 1
2020/10/25, 26, 20, 2, , 1
2020/10/26, 24, 21, 6, , 1
2020/10/27, 21, 16, 9, , 2
2020/10/28, 20, 12, 12, , 1
2020/10/29, 18, 19, 11, 1, 2
2020/10/30, 19, 19, 10, , 2
2020/10/31, 24, 16, 19, 1, 5
2020/11/1, 38, 17, 16, 1, 4
2020/11/2, 39, 22, 4, 1, 1
2020/11/3, 17, 20, 6, , 1
2020/11/4, 18, 23, 11, , 2
2020/11/5, 24, 28, 5, , 1
2020/11/6, 21, 31, 7, 1, 2
2020/11/7, 28, 34, 14, 1, 3
2020/11/8, 48, 34, 19, 1, 4
2020/11/9, 59, 12, 28, 1, 7
2020/11/10, 70, 26, 15, 1, 3
2020/11/11, 49, 21, 4, , 1
2020/11/12, 9, 17, 7, , 1
2020/11/13, 16, 11, 9, 1, 1
2020/11/14, 17, 16, 11, , 2
2020/11/15, 28, 32, 10, 1, 2
2020/11/16, 25, 25, 7, , 1
2020/11/17, 16, 21, 8, , 1
2020/11/18, 21, 21, 6, , 1
2020/11/19, 17, 24, 12, , 2
2020/11/20, 32, 23, 7, , 2
2020/11/21, 35, 22, 9, , 2
2020/11/22, 37, 20, 4, , 1
2020/11/23, 21, 15, 9, , 1
2020/11/24, 17, 20, 9, , 1
2020/11/25, 18, 8, 24, 1, 5
2020/11/26, 37, 24, 13, 1, 3
2020/11/27, 36, 8, 15, 1, 4
2020/11/28, 22, 18, 10, , 2
2020/11/29, 29, 21, 11, , 2
2020/11/30, 32, 29, 12, 1, 3
2020/12/1, 35, 28, 4, , 1
2020/12/2, 23, 20, 6, , 1
2020/12/3, 21, 22, 12, 1, 2
2020/12/4, 25, 24, 9, 1, 2
2020/12/5, 35, 20, 7, , 1
2020/12/6, 20, 19, 6, , 1
2020/12/7, 16, 20, 8, , 1
2020/12/8, 19, 19, 8, , 1
2020/12/9, 24, 12, 16, 1, 2
2020/12/10, 37, 11, 15, 1, 3
2020/12/11, 34, 17, 17, 1, 4
2020/12/12, 48, 13, 18, 1, 5
2020/12/13, 59, 19, 11, 1, 2
2020/12/14, 39, 8, 16, , 2
2020/12/15, 24, 20, 8, , 1
2020/12/16, 21, 24, 9, , 2
2020/12/17, 25, 24, 7, , 1
2020/12/18, 20, 22, 15, 1, 3
2020/12/19, 30, 14, 24, 1, 4
2020/12/20, 48, 4, 30, 1, 5
2020/12/21, 68, 7, 23, 1, 6
2020/12/22, 71, 23, 13, 1, 2
2020/12/23, 44, 19, 17, 1, 3
2020/12/24, 26, 29, 12, 1, 2
2020/12/25, 26, 30, 2, , 1
2020/12/26, 19, 18, 3, , 1
2020/12/27, 29, 18, 11, , 2
2020/12/28, 38, 21, 18, 1, 3
2020/12/29, 41, 23, 8, , 1
2020/12/30, 15, 26, 12, , 2
2020/12/31, 24, 27, 9, , 1
2021/1/1, 18, 20, 12, , 2
2021/1/2, 31, 24, 7, , 1
2021/1/3, 13, 20, 11, , 2
2021/1/4, 26, 19, 9, , 2
2020/7/2, 10, 31, 4, 1, 2
2020/7/3, 19, 27, 2, 1, 1
2020/7/4, 20, 25, 3, 1, 1
2020/7/5, 22, 30, 3, 1, 2
2020/7/6, 53, 21, 4, 1, 1
2020/7/7, 9, 27, 2, 1, 1
2020/7/8, 16, 28, 1, , 1
2020/7/9, 25, 40, 3, 1, 2
2020/7/10, 34, 17, 2, 1, 
2020/7/11, 16, 26, 1, 1, 
2020/7/12, 18, 32, 1, 1, 1
2020/7/13, 16, 29, 5, , 1
2020/7/14, 16, , , , 
2020/7/16, 25, 19, 5, 1, 1
2020/7/17, 13, 17, 3, 1, 1
2020/7/18, 9, 36, 4, 1, 1
2020/7/19, 18, , , , 
2020/7/21, 41, 30, 7, 1, 
2020/7/22, 5, 22, 9, 1, 1
2020/7/25, 42, 38, 6, 1, 2
2020/7/26, 46, 37, 2, 1, 1
2020/7/27, 43, 48, 4, 1, 1
2020/7/28, 41, 40, 4, 1, 1
2020/7/29, 41, 39, 4, 1, 1
2020/7/30, 31, 42, 4, 1, 1
2020/7/31, 32, 24, 7, 1, 1
2020/8/1, 33, 35, 6, 1, 2
2020/8/2, 40, 30, 1, 1, 1
2020/8/3, 36, 36, 4, 1, 1
2020/8/4, 38, 28, 5, 1, 1
2020/8/5, 39, 42, 5, 1, 1
2020/8/6, 34, 37, 6, 1, 1
2020/8/7, 32, 25, 11, 1, 1
2020/8/8, 35, 34, 5, 1, 1
2020/8/9, 29, 37, 2, 1, 1
2020/8/10, 35, 44, 3, 1, 2
2020/8/11, 44, 53, 3, 1, 1
2020/8/12, 53, 37, 7, 1, 1
2020/8/13, 41, 31, 7, 1, 2
2020/8/14, 41, 24, 7, 1, 2
2020/8/15, 47, 17, 2, 1, 1
2020/8/16, 41, 17, 2, 1, 1
2020/8/17, 29, 23, 2, 1, 1
2020/8/18, 25, 31, 4, 1, 1
2020/8/19, 26, 22, 9, 1, 1
2020/8/20, 31, 22, 7, 1, 1
2020/8/21, 19, 51, 4, 1, 1
2020/8/22, 35, 39, 8, 1, 2
2020/8/23, 45, 38, 5, 1, 1
2020/8/24, 40, 38, 5, 1, 1
2020/8/25, 36, 36, 4, 1, 1
2020/8/26, 35, 25, 4, 1, 1
2020/8/27, 13, 14, 9, 1, 1
2020/8/28, 25, 23, 7, 1, 2
2020/8/29, 29, 23, 3, 1, 2
2020/8/30, 38, 22, 3, 1, 1
2020/8/31, 15, 23, 6, 1, 1
2020/9/1, 24, 20, 6, 1, 1
2020/9/2, 20, 16, 5, , 1
2020/9/3, 14, 16, 7, , 2
2020/9/4, 25, 30, 6, , 1
2020/9/5, 26, 26, 4, , 1
2020/9/6, 25, 34, 4, , 1
2020/9/7, 40, 28, 2, , 1
2020/9/8, 20, 32, 5, , 1
2020/9/9, 23, 28, 6, , 1
2020/9/10, 33, 13, 4, , 1
2020/9/11, 17, 14, 5, , 1
2020/9/12, 17, 18, 4, , 1
2020/9/13, 17, 24, 4, , 1
2020/9/14, 28, 22, 3, , 1
2020/9/15, 20, 18, 6, , 1
2020/9/16, 22, 25, 4, , 1
2020/9/17, 25, 33, 6, , 1
2020/9/18, 27, 20, 3, , 1
2020/9/19, 29, 22, 4, , 1
2020/9/20, 23, 21, 4, 1, 1
2020/9/21, 22, 19, 9, , 1
2020/9/22, 25, 26, 8, , 1
2020/9/23, 25, 31, 8, , 1
2020/9/24, 39, 30, 7, , 3
2020/9/25, 47, 24, 13, , 3
2020/9/26, 53, 39, 4, , 2
2020/9/27, 54, 27, 1, , 1
2020/9/28, 21, 20, 3, , 1
2020/9/29, 22, 23, 3, , 1
2020/9/30, 23, 26, 3, , 1
2020/10/1, 19, 28, 5, , 1
2020/4/2, 21, 23, 3, 1, 1
2020/4/3, 7, 28, 3, 1, 1
2020/4/4, 7, 26, 2, 1, 1
2020/4/5, 14, 25, 5, 1, 1
2020/4/6, 21, 31, 7, 1, 1
2020/4/7, 19, 33, 8, 1, 1
2020/4/8, 16, 25, 11, 1, 2
2020/4/9, 23, 28, 6, 1, 1
2020/4/10, 21, 26, 5, 1, 1
2020/4/11, 9, 28, 2, 1, 1
2020/4/12, 9, 37, 5, 1, 1
2020/4/13, 18, 34, 1, 1, 1
2020/4/14, 18, 34, 5, 1, 1
2020/4/15, 21, 35, 6, 1, 1
2020/4/16, 15, 32, 6, 1, 1
2020/4/17, 19, 36, 3, 1, 1
2020/4/18, 19, 33, 8, 1, 1
2020/4/19, 19, 44, 3, 1, 1
2020/4/20, 29, 30, 7, 1, 1
2020/4/21, 17, 36, 8, 1, 1
2020/4/22, 21, 35, 2, 1, 1
2020/4/23, 14, 39, 4, 1, 1
2020/4/24, 17, 32, 11, 1, 2
2020/4/25, 32, 37, 10, 1, 2
2020/4/26, 34, 33, 5, 1, 1
2020/4/27, 26, 32, 2, 1, 1
2020/4/28, 9, 32, 4, 1, 1
2020/4/29, 16, 29, 6, 1, 1
2020/4/30, 18, 26, 4, 1, 1
2020/5/1, 24, 29, 9, 1, 2
2020/5/2, 19, 34, 4, 1, 1
2020/5/3, 19, 42, 3, 1, 1
2020/5/4, 29, 32, 2, 1, 1
2020/5/5, 28, 26, 2, 1, 1
2020/5/6, 15, 29, 4, 1, 1
2020/5/7, 13, 34, 4, 1, 1
2020/5/8, 16, 32, 2, 1, 1
2020/5/9, 11, 26, 2, 1, 1
2020/5/10, 12, 34, 4, 1, 1
2020/5/11, 15, 35, 6, 1, 1
2020/5/12, 29, 29, 2, 1, 1
2020/5/13, 15, 29, 7, 1, 1
2020/5/14, 11, 41, 5, 1, 1
2020/5/15, 16, 42, 3, 1, 1
2020/5/16, 30, 31, 2, 1, 1
2020/5/17, 12, 33, 2, 1, 1
2020/5/18, 13, 26, 7, 1, 1
2020/5/19, 21, 27, 4, 1, 1
2020/5/20, 19, 29, 5, 1, 1
2020/5/21, 19, 38, 4, 1, 1
